DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS
2019-01-01,1,0,10,1,0,0,0,1
2019-01-02,0,0,14,1,0,0,0,1
2019-01-03,1,0,19,2,0,0,0,2
2019-01-04,1,0,23,2,0,0,0,3
2019-01-05,1,0,43,3,0,0,0,4
2019-01-06,1,0,57,3,1,0,0,5
2019-01-07,1,0,31,4,1,0,0,6
2019-01-08,1,0,34,3,1,0,0,7
2019-01-09,1,0,48,4,1,0,0,8
2019-01-10,1,0,50,4,1,0,0,9
2019-01-11,1,0,61,5,2,0,0,10
2019-01-12,1,0,90,7,1,0,0,11
2019-01-13,2,0,99,7,3,0,0,13
2019-01-14,2,0,64,7,3,0,0,15
2019-01-15,2,0,72,8,2,0,0,17
2019-01-16,2,0,97,7,3,0,0,19
2019-01-17,2,0,74,7,3,0,0,21
2019-01-18,3,0,95,9,4,0,0,24
2019-01-19,2,0,124,13,6,0,0,26
2019-01-20,3,0,134,15,6,0,0,29
2019-01-21,2,0,107,10,4,0,0,31
2019-01-22,2,0,92,11,4,0,0,33
2019-01-23,2,0,110,11,5,1,0,35
2019-01-24,3,0,121,12,5,0,0,38
2019-01-25,3,0,131,12,4,1,0,41
2019-01-26,3,0,199,18,7,1,0,44
2019-01-27,3,0,216,18,6,1,0,47
2019-01-28,3,0,155,11,5,1,0,50
2019-01-29,3,0,167,13,7,1,0,53
2019-01-30,3,0,149,16,5,1,0,56
2019-01-31,4,0,138,14,5,1,0,60
2019-02-01,3,0,174,15,6,1,0,63
2019-02-02,3,0,276,27,9,1,0,66
2019-02-03,3,0,262,25,12,1,0,69
2019-02-04,3,0,192,14,5,1,0,72
2019-02-05,4,0,175,19,10,1,0,76
2019-02-06,4,0,198,18,9,1,0,80
2019-02-07,4,0,208,19,7,1,0,84
2019-02-08,4,0,207,15,8,1,0,88
2019-02-09,4,0,399,28,12,1,1,92
2019-02-10,4,1,334,28,13,1,0,95
2019-02-11,4,0,230,20,8,1,0,99
2019-02-12,4,0,262,19,8,1,0,103
2019-02-13,4,0,237,19,10,1,0,107
2019-02-14,5,0,226,20,11,1,1,112
2019-02-15,4,1,270,20,9,2,0,115
2019-02-16,5,0,394,30,15,2,0,120
2019-02-17,4,1,361,31,16,2,1,123
2019-02-18,5,1,222,23,10,2,1,127
2019-02-19,4,0,299,26,12,2,0,131
2019-02-20,5,1,264,25,12,2,1,135
2019-02-21,5,1,267,27,13,2,1,139
2019-02-22,5,1,277,25,12,2,1,143
2019-02-23,5,1,428,31,16,2,1,147
2019-02-24,5,1,450,36,16,2,1,151
2019-02-25,6,1,278,26,11,2,1,156
2019-02-26,6,1,344,25,14,2,1,161
2019-02-27,4,1,310,27,11,2,1,164
2019-02-28,6,1,302,23,11,2,1,169
2019-03-01,6,1,336,28,13,3,1,174
2019-03-02,5,1,482,42,16,2,1,178
2019-03-03,5,1,539,46,21,2,1,182
2019-03-04,6,1,306,26,13,3,1,187
